material,pressure,temperature,pH,pore_size_nm,thickness_nm,surface_charge,feed_concentration,flux,rejection
1,16.948144802903492,22.751521847992457,7.839073000818308,0.9177951105625408,124.58327528535912,-1.1100225757637974,959.2488919658672,72.44850778173546,92.35520458994688
1,5.308767414437037,34.54864778242992,7.997327922401265,0.6486373774747933,98.18249672071006,-1.0349359411319097,804.2422429595377,49.81377847851204,97.71129122145408
2,12.871619903875835,25.99791457572883,5.639996989640847,1.1816288631890215,103.27713404303044,-1.1184542089204612,1118.3860093330873,73.77890550759417,86.6638432512343
2,5.696756190799966,29.113172778521573,6.011572371061875,0.5455361150896957,174.88855372533334,-0.3309311702328966,1308.3973481164612,41.17952142896496,94.7054764621118
1,15.248952782381874,29.149949866739316,7.999584735208493,0.6213552574554404,119.10606075732407,-1.035987520990744,1255.3614103176524,60.4625567512742,97.35839812065424
0,5.469699386833379,32.63427161892498,6.849262400109297,0.7766051652012701,172.66588657937942,-0.5454552037292212,826.5407688058353,53.22903801886326,96.53975819914386
0,9.879954961448966,25.83015934534223,6.314047095321688,1.0801162564063505,115.67533266935894,-0.9471589412813572,1042.6960831582485,67.38943806395883,87.07540749753004
2,5.234546101117909,26.351022210595545,6.6846445545267095,0.7054417223026267,81.40798227150844,-1.0210418363200753,1211.34195274865,54.28668066337617,96.12747493332152
0,10.376985928164087,21.738035892876944,8.08931027762678,0.9363086887792904,113.08980248526493,-1.1427974847425786,810.9823217156622,69.49407794125554,91.00897928691973
0,18.308191138644897,27.08322387742924,5.858782737814905,0.9992713510560964,156.07850486168974,-0.6948505221874534,1270.9671799545608,78.99635404786183,87.38641723623601
1,6.66336231217747,26.590047527986552,6.105157607006189,1.1270345169714635,127.53702231821116,-0.6930519852212547,1195.5160864261277,60.97291205499399,83.2245069728125
1,16.33326707814573,23.431972482374334,5.730939729486379,0.7028260170396377,96.12212872540044,-0.3632721128916842,1308.120379564417,69.6162510997393,88.87543388888363
0,18.249203883783025,24.86517531507911,5.86626386410202,0.7494084866538824,170.6828441545754,-0.9550809755538282,1147.6901205413624,65.48983691185038,96.33681740074212
1,11.261165047231684,23.331617157060958,5.859596102001048,0.7363306199825396,174.2909703912519,-0.9091173611813204,1018.790621743366,55.60106250482998,99.18504783971396
2,8.808731209015171,23.70314094257902,7.588912818519365,0.9985894129471092,94.80869299533998,-0.3020335634559523,766.781014275285,67.80362338848295,82.30633552795143
1,9.179696963549173,33.623988289499806,6.218685672000917,0.6014264104638561,128.9452760277563,-0.3129145913004594,742.0552715115005,60.347544486295405,92.67578105414545
1,8.632399074161388,32.047096345698435,6.910901903338115,1.18839619862639,119.88244424445531,-0.4652113141025544,1298.3451249845511,64.19867472106435,79.08268078571307
2,17.875382072205795,24.889383578028276,6.160723142696645,0.9978046727066124,160.95010461397155,-0.8862006114374436,596.1765510914207,77.64446822314761,91.87892355451346
1,19.050949831051017,22.0628141621899,6.523199053150775,0.5794314648684123,172.4693618278563,-0.4103945819571171,757.9416277151556,70.87581004240202,95.92845685559776
2,12.749538369065212,23.91243762245613,8.488761099273773,1.1757935459021556,135.82934536070977,-0.4056272911295943,688.7071083413794,76.81638092402723,79.73462253199382
1,17.844864378171387,26.06762190683285,8.16331029628288,1.0956499141372589,173.56349942209476,-0.4931934139974507,1168.9882547142288,69.40572647476392,87.45005769350986
2,14.952526536620836,20.07592375769328,5.982424154252496,0.8841136525566102,149.18951976926934,-0.6132348664476596,724.2693094605597,68.98384483946168,91.09017850742154
2,7.682340638319932,25.4970317687429,7.732511569169687,1.0046579469764905,110.80607918523891,-0.7117137925005906,1008.81407683876,60.02690247228677,87.64486380779533
0,19.59515832128668,25.896465870001407,8.17613966553134,0.941797038198084,159.48113035416486,-0.7476266162053271,1076.903884626359,71.88833843693185,90.56258743165763
2,12.487900698271286,28.580062988137747,7.805662042918927,0.5305226402281036,179.45505107973412,-0.7770499374081514,779.5603417967586,57.84474312035442,100.89266207601494
2,18.92477843881588,26.422762224759715,8.39996445713101,1.174533983962477,165.300945546736,-0.9349959971373728,885.0977286019253,78.90976450358119,89.4089257609462
0,13.352018936875252,34.04232161241171,7.588089390024919,0.8990428190625555,89.71764937707685,-0.6464934959707472,1490.0538501042631,66.0473517722472,85.25550560056428
0,9.838261463579007,32.73004692387012,5.909863994326086,0.996237697837083,135.28199769079075,-0.9331408707169812,919.7808564462764,65.97537243471211,88.01690340590663
0,5.077772941609801,29.41841622422954,6.082821860536127,0.5496586418999494,119.67838272138884,-1.1543083220645427,1386.61714895066,45.30609264540364,99.91971627285857
1,15.08039202942799,24.92229001212098,5.965124850183233,1.1872886218173715,163.89335020693633,-0.4256358435194923,750.251360515864,71.76930328571304,83.34429230944531
2,9.073143737296128,34.47877745586155,6.8717954848411855,1.089416152508387,99.4380033994873,-0.8297814854489893,1199.5122107671937,65.23348732615877,84.75206604566682
1,11.584571310584542,21.17684572013399,5.576052230246373,1.1738538902745477,163.59801205122056,-0.5736232145156719,908.95294441427,68.00807018082669,83.96228458246092
0,8.59681038736105,21.408099351219377,6.048597991321922,1.1542297981377967,143.82705938433503,-0.73497336831609,1157.1113285001668,66.21345675880687,84.76210255652624
1,8.715964842517362,25.339590179768923,7.773538331393107,0.5100754420408291,91.60726405069164,-1.1585976221804224,540.7288023189701,61.42722581364004,101.12678166366624
